gnd,pctile,year,count,hh_inc,le_agg,le_raceadj
F,8,2013,456550,10450.85,81.91763,81.96396
F,8,2014,439795,9793.969,82.36275,82.40062
F,9,2001,400159,13383.2,81.1517,81.21301
F,9,2002,412966,13671.29,80.87063,80.93071
F,9,2003,422062,13485.8,80.78611,80.85384
F,9,2004,429648,13195.98,82.11233,82.14544
F,9,2005,435305,12932.95,82.48163,82.50562
F,9,2006,440372,12713.91,82.70784,82.72761
F,9,2007,444839,12702.27,82.69614,82.71697
F,9,2008,449976,12708.18,82.57619,82.60208
F,9,2009,460470,12031.87,82.1226,82.16561
F,9,2010,460406,12152.64,82.34249,82.39744
F,9,2011,458492,12018.6,82.35532,82.39378
F,9,2012,458714,12039.2,81.85356,81.90291
F,9,2013,456727,11554.61,82.35345,82.3821
F,9,2014,439653,10832.34,82.91753,82.92658
F,10,2001,400169,14620.99,81.11082,81.16321
F,10,2002,413114,14909.2,81.60323,81.64111
F,10,2003,422243,14719.4,81.91376,81.93975
F,10,2004,429657,14411.51,81.82178,81.85451
F,10,2005,435466,14137.28,81.79144,81.81936
F,10,2006,440529,13937.82,83.37046,83.36605
F,10,2007,444832,13911.4,82.5849,82.59694
F,10,2008,449964,13908.95,82.58424,82.59992
F,10,2009,460708,13248.86,81.69947,81.748
F,10,2010,460459,13283.28,82.993,83.0273
F,10,2011,458904,13106.72,82.14958,82.1905
F,10,2012,459212,13095.52,82.72896,82.74462
F,10,2013,456703,12604.44,82.40932,82.42707
F,10,2014,439785,11891.4,82.14856,82.18226
F,11,2001,400192,15798.87,82.83594,82.84409
F,11,2002,413217,16099.88,82.40478,82.4152
F,11,2003,422287,15902.93,81.97479,81.99482
F,11,2004,429784,15577.95,82.40762,82.41512
F,11,2005,435428,15295.24,82.85421,82.84952
F,11,2006,440516,15108.05,81.67342,81.69613
F,11,2007,444916,15069.35,83.41932,83.4102
F,11,2008,450032,15059.25,82.36297,82.3776
F,11,2009,460753,14391.15,82.53967,82.5554
F,11,2010,460449,14358.63,83.06369,83.08271
F,11,2011,458794,14101.1,82.67878,82.69984
F,11,2012,459213,14050.01,82.33398,82.3494
F,11,2013,456873,13544.42,83.15422,83.13451
F,11,2014,439896,12873.64,83.84355,83.81876
F,12,2001,400343,16943.73,81.56316,81.58662
F,12,2002,413177,17257.18,81.81823,81.83253
F,12,2003,422290,17059.09,81.36715,81.39024
F,12,2004,429793,16720.46,81.80399,81.82068
F,12,2005,435529,16441.3,81.50661,81.52656
F,12,2006,440605,16260.2,82.35368,82.35797
F,12,2007,444926,16208.41,83.67768,83.65468
F,12,2008,450218,16195.49,82.81118,82.8063
F,12,2009,460874,15532.31,83.49569,83.49036
F,12,2010,460648,15432.04,82.01788,82.05789
F,12,2011,458838,15092.98,82.77674,82.78378
F,12,2012,459454,15020.63,82.75871,82.76252
F,12,2013,456886,14488.08,82.00126,82.02101
F,12,2014,439998,13767.63,84.08838,84.04851
F,13,2001,400350,18059.33,80.85897,80.90009
F,13,2002,413251,18388.17,81.7058,81.72119
F,13,2003,422335,18181.83,82.06642,82.07908
F,13,2004,429926,17832.05,82.54845,82.54913
F,13,2005,435579,17555.42,81.86349,81.8761
F,13,2006,440709,17382.07,82.72182,82.7211
F,13,2007,445121,17319.09,82.89189,82.88419
F,13,2008,450223,17304.53,83.56454,83.55161
F,13,2009,460827,16646.22,83.07184,83.07385
F,13,2010,460826,16478.4,82.99715,83.01438
F,13,2011,459058,16092.41,83.54362,83.53733
F,13,2012,459460,15984.76,84.22553,84.19843
F,13,2013,456926,15419.86,83.09599,83.07918
F,13,2014,440119,14685.71,83.747,83.72291
F,14,2001,400424,19153.48,82.74626,82.75181
F,14,2002,413252,19494.09,81.94305,81.95773
F,14,2003,422492,19283.1,83.12881,83.11871
F,14,2004,429815,18915.26,82.48959,82.49513
F,14,2005,435665,18634.29,82.03953,82.04952
F,14,2006,440655,18471.41,83.50819,83.48962
F,14,2007,444991,18396.63,83.61129,83.60032
F,14,2008,450320,18381.22,83.92981,83.90981
F,14,2009,460865,17730.44,82.74271,82.75336
F,14,2010,460548,17506.51,83.47619,83.49038
F,14,2011,458839,17077.75,83.84679,83.83479
F,14,2012,459622,16928.86,83.19267,83.19283
F,14,2013,456936,16337.98,83.70557,83.68825
F,14,2014,440085,15591.65,84.05533,84.02754
F,15,2001,400302,20231.13,81.67956,81.70686
F,15,2002,413340,20584.59,82.91686,82.91494
F,15,2003,422486,20362.76,82.31845,82.32864
F,15,2004,429961,19981.09,82.18494,82.19447
F,15,2005,435507,19697.01,82.72734,82.72595
F,15,2006,440784,19544.43,82.38786,82.3962
F,15,2007,445156,19457.41,84.09422,84.0757
F,15,2008,450341,19440.01,83.21244,83.21201
F,15,2009,460888,18789.04,83.14938,83.15698
F,15,2010,460783,18522.24,83.36145,83.37738
F,15,2011,459039,18049.76,83.33485,83.32928
F,15,2012,459494,17867.17,83.43564,83.43114
F,15,2013,457094,17245.08,83.21544,83.20823
F,15,2014,440073,16473.25,83.61048,83.60199
F,16,2001,400352,21299.37,82.44057,82.45692
F,16,2002,413322,21661.38,82.79997,82.80373
F,16,2003,422413,21431.5,83.3529,83.3469
F,16,2004,429821,21035.32,82.26826,82.2848
F,16,2005,435606,20744.79,82.58279,82.59085
F,16,2006,440718,20607.57,83.22316,83.2214
F,16,2007,445150,20506.74,83.30509,83.29827
F,16,2008,450312,20490.53,83.09164,83.09821
F,16,2009,461041,19838.89,84.21816,84.20599
F,16,2010,460775,19529.62,83.99637,84.00235
F,16,2011,459127,19015.58,83.3028,83.30443
F,16,2012,459525,18801.99,82.99112,82.99734
F,16,2013,457074,18157.41,84.12106,84.09801
F,16,2014,440220,17344.56,84.60667,84.57406
F,17,2001,400407,22359.33,81.41727,81.45663
F,17,2002,413243,22726.2,82.44177,82.45606
F,17,2003,422556,22487.33,82.42246,82.43722
F,17,2004,429864,22079.0,82.55547,82.56702
F,17,2005,435667,21782.94,83.325,83.3234
F,17,2006,440778,21661.67,82.60801,82.61948
F,17,2007,445191,21547.36,82.87327,82.87646
F,17,2008,450350,21530.33,83.69624,83.68867
F,17,2009,461072,20879.92,82.66934,82.69263
F,17,2010,460876,20528.12,83.7968,83.8109
F,17,2011,459093,19977.89,83.85426,83.85233
F,17,2012,459484,19737.12,83.89149,83.88
F,17,2013,457136,19077.13,83.94736,83.93879
F,17,2014,440089,18226.43,83.94405,83.93111
F,18,2001,400480,23413.82,82.94623,82.95995
F,18,2002,413294,23785.26,82.421,82.43999
F,18,2003,422404,23534.89,82.45551,82.46782
F,18,2004,430014,23116.8,82.94806,82.95249
F,18,2005,435750,22818.03,83.37579,83.37362
F,18,2006,440775,22710.39,83.28579,83.28239
F,18,2007,445198,22583.82,83.64725,83.63597
F,18,2008,450313,22566.3,83.59999,83.59944
F,18,2009,461205,21916.5,82.7886,82.81172
F,18,2010,460852,21515.07,83.04211,83.07554
F,18,2011,459104,20936.37,84.11411,84.10591
F,18,2012,459552,20668.48,83.97266,83.96524
F,18,2013,457088,20001.16,84.55331,84.5211
F,18,2014,439462,19114.55,84.66143,84.63462
F,19,2001,400500,24461.66,82.8033,82.82001
F,19,2002,413418,24837.88,82.85287,82.8667
F,19,2003,422494,24576.03,82.76568,82.7782
F,19,2004,430129,24149.44,83.51832,83.51894
F,19,2005,435662,23845.2,84.16553,84.15137
F,19,2006,440849,23751.23,84.32436,84.3102
F,19,2007,445313,23616.71,83.57441,83.57005
F,19,2008,450458,23600.54,83.85373,83.8512
F,19,2009,461057,22952.16,83.86703,83.87455
F,19,2010,460833,22501.01,84.20123,84.21167
F,19,2011,459229,21891.28,84.04881,84.04747
F,19,2012,459609,21599.49,83.96205,83.95643
F,19,2013,456941,20925.14,83.88055,83.86387
F,19,2014,439572,20004.92,85.15271,85.11761
F,20,2001,400418,25508.44,82.69803,82.7234
F,20,2002,413378,25888.3,84.14121,84.13477
F,20,2003,422599,25612.39,82.06101,82.09264
F,20,2004,429958,25178.25,82.82701,82.84327
F,20,2005,435728,24866.57,84.16988,84.16286
F,20,2006,440693,24789.67,83.20935,83.22197
F,20,2007,445154,24645.33,83.84999,83.8465
F,20,2008,450463,24633.32,84.68726,84.66685
F,20,2009,461037,23984.47,82.88366,82.90971
F,20,2010,460945,23489.54,84.33474,84.34345
F,20,2011,459237,22846.55,83.93845,83.94308
F,20,2012,459640,22529.31,83.8646,83.8664
F,20,2013,457239,21846.67,83.44875,83.44736
F,20,2014,439936,20896.95,84.23064,84.22075
F,21,2001,400505,26552.12,82.40554,82.43928
F,21,2002,413321,26937.65,82.85245,82.87344
F,21,2003,422686,26647.23,83.45068,83.45958
F,21,2004,430090,26202.96,83.04198,83.06531
F,21,2005,435660,25886.07,82.86154,82.8822
F,21,2006,440942,25826.34,83.59195,83.60133
F,21,2007,445282,25675.76,84.46492,84.45571
F,21,2008,450437,25664.21,83.61137,83.62572
F,21,2009,461269,25015.12,84.11271,84.12165
F,21,2010,460925,24478.58,84.33082,84.34301
F,21,2011,459292,23802.27,84.29659,84.29631
F,21,2012,459592,23460.4,84.17467,84.1763
F,21,2013,457097,22768.34,84.11964,84.11699
F,21,2014,439831,21793.29,84.45501,84.44334
F,22,2001,400519,27595.33,82.98342,83.01644
F,22,2002,413512,27988.79,83.61658,83.63285
F,22,2003,422496,27683.78,83.11095,83.13628
F,22,2004,430011,27227.97,83.4866,83.50213
F,22,2005,435685,26905.87,82.78172,82.81252
F,22,2006,440731,26859.6,83.63342,83.64801
F,22,2007,445252,26703.43,84.51848,84.51595
F,22,2008,450442,26693.29,83.56244,83.58107
F,22,2009,461177,26050.95,82.82153,82.86903
F,22,2010,460913,25471.03,84.76117,84.77835
F,22,2011,459169,24761.46,84.94586,84.94457
F,22,2012,459769,24393.94,85.14649,85.13803
F,22,2013,457263,23689.97,83.46626,83.48598
F,22,2014,440005,22687.86,85.47322,85.45043
F,23,2001,400582,28642.97,81.67326,81.73481
F,23,2002,413470,29046.58,82.37354,82.42001
F,23,2003,422566,28720.13,84.26347,84.27034
F,23,2004,430188,28253.01,83.05668,83.08826
F,23,2005,435887,27924.1,83.97791,83.98734
F,23,2006,440948,27896.18,83.57874,83.59787
F,23,2007,445250,27731.9,83.89825,83.91043
F,23,2008,450349,27722.89,84.4659,84.47397
F,23,2009,461232,27089.73,84.10696,84.12757
F,23,2010,460894,26467.57,84.5579,84.57832
F,23,2011,459236,25727.89,84.49871,84.50862
F,23,2012,459788,25336.07,83.6048,83.63588
F,23,2013,457269,24622.63,84.20776,84.21185
F,23,2014,440352,23585.38,84.84496,84.83942
F,24,2001,400554,29697.4,81.96435,82.02464
F,24,2002,413440,30103.54,83.00513,83.03622
F,24,2003,422645,29761.27,82.43436,82.47591
F,24,2004,430109,29278.5,83.81593,83.8285
F,24,2005,435683,28943.95,83.67596,83.69513
F,24,2006,441015,28935.01,84.20493,84.21307
F,24,2007,445250,28762.36,84.03923,84.04729
F,24,2008,450522,28756.55,83.94363,83.96068
F,24,2009,461154,28127.19,83.79283,83.82201
F,24,2010,461011,27469.33,84.24928,84.28162
F,24,2011,459324,26698.97,85.20853,85.20589
F,24,2012,459858,26286.17,84.61481,84.61787
F,24,2013,457343,25566.37,85.35832,85.34228
F,24,2014,440496,24488.37,84.73484,84.72884
F,25,2001,400535,30754.54,83.2766,83.30424
F,25,2002,413569,31170.65,83.30174,83.32733
F,25,2003,422634,30805.65,83.02057,83.0509
F,25,2004,430112,30308.64,83.69522,83.70976
F,25,2005,435861,29967.4,83.01453,83.04599
F,25,2006,440984,29976.8,83.44791,83.473
F,25,2007,445361,29795.85,84.48421,84.47989
F,25,2008,450474,29793.76,84.19104,84.20058
F,25,2009,461336,29172.25,83.70461,83.73437
F,25,2010,461040,28476.34,84.07142,84.10363
F,25,2011,459287,27677.38,84.30678,84.32347
F,25,2012,459797,27244.06,84.8608,84.85551
F,25,2013,457287,26522.95,84.9335,84.92105
F,25,2014,440274,25398.44,85.37988,85.3672
F,26,2001,400507,31815.36,83.5497,83.57206
F,26,2002,413459,32240.83,83.63927,83.65411
F,26,2003,422622,31855.31,83.30426,83.32784
F,26,2004,430020,31340.57,83.10187,83.1283
F,26,2005,435731,30996.21,84.3233,84.32706
F,26,2006,440962,31022.92,84.14882,84.15504
F,26,2007,445207,30835.49,84.10182,84.10496
F,26,2008,450475,30837.0,84.04292,84.05296
F,26,2009,461299,30223.0,83.45332,83.48168
F,26,2010,460973,29489.35,84.08178,84.11136
F,26,2011,459388,28666.06,84.81528,84.81609
F,26,2012,459877,28209.89,84.48866,84.48891
F,26,2013,457390,27486.59,85.54647,85.51566
F,26,2014,440336,26317.94,84.26383,84.26655
F,27,2001,400575,32878.34,83.20737,83.23467
F,27,2002,413482,33315.98,83.46867,83.49007
F,27,2003,422720,32911.38,83.49681,83.50969
F,27,2004,430080,32378.97,83.97739,83.98555
F,27,2005,435858,32028.75,83.02381,83.04846
F,27,2006,440963,32071.91,84.37698,84.37643
F,27,2007,445543,31880.96,85.05383,85.04009
F,27,2008,450561,31885.52,85.0826,85.07238
F,27,2009,461303,31277.97,83.94493,83.96877
F,27,2010,461020,30510.59,85.2399,85.24196
F,27,2011,459315,29665.32,84.48302,84.48923
F,27,2012,459866,29185.17,84.82839,84.81812
F,27,2013,457219,28456.93,84.17993,84.1804
F,27,2014,440370,27248.57,84.71555,84.70663
F,28,2001,400468,33947.76,82.26038,82.31082
F,28,2002,413437,34399.29,83.37496,83.39734
F,28,2003,422583,33974.09,82.40259,82.4453
F,28,2004,430189,33423.75,84.41251,84.41722
F,28,2005,435815,33071.32,84.39739,84.39981
F,28,2006,440995,33125.79,83.74729,83.76376
F,28,2007,445349,32930.01,84.33841,84.33846
F,28,2008,450598,32939.34,84.65272,84.64749
F,28,2009,461264,32337.1,84.7494,84.75484
F,28,2010,461022,31535.18,85.21358,85.21412
F,28,2011,459358,30671.51,84.16528,84.18443
F,28,2012,459766,30170.48,85.12334,85.10772
F,28,2013,457317,29437.85,84.78107,84.77406
F,28,2014,440381,28185.75,84.84879,84.85141
F,29,2001,400679,35024.67,83.40259,83.43443
F,29,2002,413470,35493.94,82.57036,82.61629
F,29,2003,422690,35042.78,83.53564,83.55671
F,29,2004,430159,34478.73,83.01923,83.05598
F,29,2005,435864,34115.99,84.53648,84.54053
F,29,2006,441088,34187.24,83.3091,83.34029
F,29,2007,445353,33986.31,85.41391,85.3974
F,29,2008,450467,34006.94,85.68362,85.66213
F,29,2009,461328,33404.81,84.39948,84.41456
F,29,2010,461058,32565.25,85.18533,85.1904
F,29,2011,459359,31682.73,85.07285,85.06956
F,29,2012,459904,31164.58,84.1135,84.12178
F,29,2013,457363,30423.09,85.4689,85.45397
F,29,2014,440375,29128.64,85.19716,85.1767
F,30,2001,400533,36112.76,83.34318,83.38097
F,30,2002,413540,36596.87,83.87972,83.90462
F,30,2003,422632,36118.61,84.12869,84.14616
F,30,2004,430200,35539.31,84.35831,84.37299
F,30,2005,435820,35165.3,84.7236,84.7269
F,30,2006,440956,35255.8,84.39439,84.40459
F,30,2007,445500,35055.68,84.77658,84.77486
F,30,2008,450579,35085.85,85.69946,85.68603
F,30,2009,461321,34483.46,84.00434,84.02985
F,30,2010,461124,33610.16,85.20334,85.21295
F,30,2011,459420,32703.9,85.77803,85.76712
F,30,2012,459914,32164.91,85.37685,85.37096
F,30,2013,457366,31416.71,84.6321,84.63592
F,30,2014,440389,30080.31,84.89007,84.88891
F,31,2001,400638,37209.6,83.6352,83.67517
F,31,2002,413600,37708.17,83.93876,83.96921
