cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
20001,Bangor,289843.0,23,Maine,ME,83.55318,77.63453,225112,211744
20002,Calais,33941.0,23,Maine,ME,82.81055,77.82538,33232,31613
20003,Presque Isle,73938.0,23,Maine,ME,82.70345,77.43863,59752,59002
20100,Portland,690459.0,23,Maine,ME,83.1235,77.61658,457646,435215
20200,Burlington,321496.0,50,Vermont,VT,83.29198,77.84265,173237,175185
20301,Berlin,95549.0,50,Vermont,VT,82.30939,77.96607,77902,77199
20302,Claremont,265884.0,50,Vermont,VT,82.42825,78.19013,162363,161985
20401,Providence,1582997.0,44,Rhode Island,RI,83.11413,77.13536,832508,755770
20500,Boston,4974945.0,25,Massachusetts,MA,83.00765,78.08818,2119542,2041975
20600,Manchester,1193391.0,33,New Hampshire,NH,82.61546,77.16698,599896,568724
20700,Keene,118041.0,33,New Hampshire,NH,83.01831,77.11843,74406,72403
20800,Springfield,680014.0,25,Massachusetts,MA,82.65208,77.33637,350076,321222
20901,Bridgeport,3405565.0,9,Connecticut,CT,82.55695,77.37029,1434310,1368737
20902,Pittsfield,171947.0,25,Massachusetts,MA,83.89247,78.60343,104649,100082
21001,Ashland,47701.0,55,Wisconsin,WI,82.13423,77.17826,34105,35641
21002,Houghton,47063.0,26,Michigan,MI,82.80733,76.86678,27431,27795
21003,Ironwood,32049.0,26,Michigan,MI,81.13769,77.12348,23641,25277
21004,Rhinelander,67833.0,55,Wisconsin,WI,81.85565,76.84076,50911,51816
21101,Rice Lake,92542.0,55,Wisconsin,WI,83.53484,78.29881,70801,73956
21102,Amery,56993.0,55,Wisconsin,WI,82.74348,77.06549,37393,36787
21201,Hutchinson,72898.0,27,Minnesota,MN,84.30845,76.33643,32718,32176
21202,Redwood Falls,33969.0,27,Minnesota,MN,82.01398,78.21406,16527,18378
21301,Mankato,149925.0,27,Minnesota,MN,82.88728,77.63073,66885,66648
21302,Owatonna,109871.0,27,Minnesota,MN,83.14825,78.8972,44794,43475
21400,St. Cloud,254139.0,27,Minnesota,MN,83.62639,78.19717,117033,115833
21501,Minneapolis,2904389.0,27,Minnesota,MN,81.762,77.37859,1042706,1088032
21502,Pine City,41526.0,27,Minnesota,MN,81.6116,77.76631,29309,29136
21600,Brainerd,141542.0,27,Minnesota,MN,83.73721,77.95673,103116,99415
21701,Rochester,228867.0,27,Minnesota,MN,83.23504,78.08607,93461,90594
21702,Austin,71187.0,27,Minnesota,MN,82.45904,78.63599,37483,37847
21801,Mason City,78179.0,19,Iowa,IA,81.64536,75.74954,43793,41133
21802,Decorah,72111.0,19,Iowa,IA,83.43688,78.55632,36726,38342
21900,Marshalltown,113442.0,19,Iowa,IA,82.42337,75.32893,56078,55519
22001,Waterloo,222112.0,19,Iowa,IA,82.31297,76.87899,109815,100348
22002,Iowa Falls,29516.0,19,Iowa,IA,82.08874,77.31502,15986,15555
22100,Iowa City,203768.0,19,Iowa,IA,82.13824,77.52544,82175,84525
22200,Cedar Rapids,252901.0,19,Iowa,IA,82.29613,76.2206,111656,105248
22300,Ottumwa,142385.0,19,Iowa,IA,82.62947,77.32329,84630,82579
22400,Sheboygan,195533.0,55,Wisconsin,WI,81.91425,76.05365,83505,77000
22500,Appleton,549651.0,55,Wisconsin,WI,81.84055,75.85919,249870,230274
22601,Green Bay,310560.0,55,Wisconsin,WI,82.01625,76.93805,148541,144519
22602,Shawano,65966.0,55,Wisconsin,WI,82.70384,78.24589,42058,41078
22700,Wausau,370092.0,55,Wisconsin,WI,82.88188,77.18274,185999,183723
22800,Eau Claire,305307.0,55,Wisconsin,WI,82.61059,77.99921,156800,159576
22900,La Crosse,220109.0,55,Wisconsin,WI,82.42285,76.42121,122587,123525
23000,Monroe,116624.0,55,Wisconsin,WI,81.68331,77.8812,68380,68911
23100,Madison,590755.0,55,Wisconsin,WI,81.44183,76.84836,237792,252361
23200,Dubuque,163189.0,19,Iowa,IA,82.86678,77.92582,89576,87078
23301,Charleston,101161.0,17,Illinois,IL,79.87154,74.82465,56532,51864
23302,Douglas,101195.0,17,Illinois,IL,81.97011,75.13607,63424,58937
23400,Bloomington,206909.0,17,Illinois,IL,79.6529,74.49316,81712,74373
23500,Decatur,382083.0,17,Illinois,IL,80.76389,75.36573,192971,170681
23600,Burlington,136489.0,19,Iowa,IA,82.96883,76.30138,83090,76262
23700,Galesburg,145734.0,17,Illinois,IL,81.7897,75.6942,87912,76568
23801,Davenport,382351.0,17,Illinois,IL,81.14835,75.83984,211533,188614
23802,Clinton,70445.0,19,Iowa,IA,81.56224,75.3491,42695,38528
23900,Peoria,529703.0,17,Illinois,IL,80.13431,74.97548,280248,238964
24000,Kenosha,584474.0,55,Wisconsin,WI,80.71107,75.4728,289681,269638
24100,Milwaukee,1660659.0,55,Wisconsin,WI,81.39199,75.71119,750482,705921
24200,Bourbonnais,135167.0,17,Illinois,IL,81.30531,75.84603,80516,70544
24300,Chicago,8183799.0,17,Illinois,IL,82.66121,77.91198,4005225,3793854
24400,Rockford,622573.0,17,Illinois,IL,81.04049,75.63575,334387,298785
24500,Rolla,111509.0,29,Missouri,MO,81.27684,75.86085,80109,74249
24600,Farmington,137456.0,29,Missouri,MO,80.8364,74.5239,104362,94533
24701,St. Louis,2325609.0,29,Missouri,MO,81.22772,75.49485,1253132,1098229
24702,Mexico,37989.0,29,Missouri,MO,81.28368,74.77048,26103,24905
24801,Jacksonville,84748.0,17,Illinois,IL,81.04098,75.28986,49162,46010
24802,Springfield,267992.0,17,Illinois,IL,79.44143,74.68959,134382,124975
24900,Edwardsville,382997.0,17,Illinois,IL,80.72781,74.71819,209368,181420
25000,Quincy,152421.0,17,Illinois,IL,81.69815,75.95887,96466,84367
25101,Mountain Home,64068.0,5,Arkansas,AR,81.24517,76.45661,63455,58812
25102,West Plains,90551.0,29,Missouri,MO,83.67667,77.6011,90696,86356
25103,Harrison,76174.0,5,Arkansas,AR,82.77586,78.32224,77113,76028
25104,Heber Springs,51737.0,5,Arkansas,AR,83.32401,76.44475,48604,45970
25105,Batesville,64601.0,5,Arkansas,AR,81.94531,76.2085,62078,57636
25200,Henderson,151629.0,21,Kentucky,KY,80.08701,74.28706,108664,98103
25300,Union City,117387.0,47,Tennessee,TN,81.63396,75.50817,86660,80205
25401,Paducah,138654.0,21,Kentucky,KY,81.36365,75.02515,101541,88264
25402,Murray,34177.0,21,Kentucky,KY,82.82052,75.23457,22736,20262
25500,Centralia,141040.0,17,Illinois,IL,80.91566,75.29424,85350,76462
25601,Carbondale,265022.0,17,Illinois,IL,81.68797,75.39285,174571,158689
25602,Harrisburg,37978.0,17,Illinois,IL,81.04042,75.51053,27704,24466
25701,Cape Girardeau,184036.0,29,Missouri,MO,81.39858,76.07758,136540,121212
25702,Poplar Bluff,73576.0,29,Missouri,MO,82.27126,75.77073,72119,68686
25800,Blytheville,105181.0,5,Arkansas,AR,80.52386,74.25474,83928,72737
25900,Jonesboro,198671.0,5,Arkansas,AR,81.07165,74.5662,156204,144766
26002,Duluth,286544.0,27,Minnesota,MN,82.05515,76.30235,163729,158854
26101,Moberly,56535.0,29,Missouri,MO,81.69205,77.74303,42521,40981
26102,Marshall,48599.0,29,Missouri,MO,81.06135,75.36924,32303,31124
26106,Centerville,29873.0,19,Iowa,IA,83.21696,76.9187,20484,20646
26107,Kirksville,38491.0,29,Missouri,MO,81.03458,77.6376,25379,25218
26201,Bismarck,114739.0,38,North Dakota,ND,85.08294,77.38305,58572,52788
26304,Minot,74541.0,38,North Dakota,ND,81.17091,76.92188,38330,35784
26410,Dickinson,27124.0,38,North Dakota,ND,84.19994,79.32191,14985,14124
26501,Brookings,40630.0,46,South Dakota,SD,80.78015,76.24953,15551,16458
26503,Sioux Falls,200630.0,46,South Dakota,SD,81.67429,76.89966,98060,98734
26504,Watertown,40078.0,46,South Dakota,SD,82.43796,75.94624,21587,21734
26605,Aberdeen,52825.0,46,South Dakota,SD,84.26601,78.01537,27463,27798
26701,Bemidji,101639.0,27,Minnesota,MN,82.48136,77.96291,70482,71132
26702,Grafton,31090.0,38,North Dakota,ND,82.4609,76.28066,16427,18000
26703,Thief River Falls,28038.0,27,Minnesota,MN,82.42078,76.48637,15696,17299
26704,Grand Forks,108213.0,38,North Dakota,ND,82.4072,76.90929,46233,46228
26801,Fargo,206945.0,38,North Dakota,ND,82.99854,76.51935,91914,89784
26803,Jamestown,38384.0,38,North Dakota,ND,84.68431,76.4107,20847,21321
26901,Fergus Falls,117558.0,27,Minnesota,MN,83.40773,78.87003,66517,67228
26902,Little Falls,69851.0,27,Minnesota,MN,84.25848,79.48436,49430,51392
27005,Yankton,47901.0,46,South Dakota,SD,83.92101,79.29726,25874,28338
27006,Mitchell,27613.0,46,South Dakota,SD,84.17701,80.25842,16797,16322
27101,Willmar,85394.0,27,Minnesota,MN,83.00971,78.97742,43007,44183
27102,Marshall,51470.0,27,Minnesota,MN,86.31061,77.11187,25442,25357
27201,Sioux Center,58454.0,19,Iowa,IA,83.65682,78.46761,23405,23970
27202,Worthington,60435.0,27,Minnesota,MN,84.41187,77.72111,29671,32391
27301,Spencer,61106.0,19,Iowa,IA,83.51105,78.77248,33347,32913
27302,Fairmont,49010.0,27,Minnesota,MN,81.62648,77.14408,29956,29473
27401,Storm Lake,52812.0,19,Iowa,IA,81.38089,76.32505,27184,29495
27402,Fort Dodge,101165.0,19,Iowa,IA,82.52688,76.21202,53620,52250
27501,Des Moines,595842.0,19,Iowa,IA,80.62177,75.68359,256627,252559
27502,Creston,35600.0,19,Iowa,IA,82.39058,76.61375,23876,23790
27503,Atlantic,34687.0,19,Iowa,IA,82.54295,78.38955,20048,19276
27504,Carroll,48729.0,19,Iowa,IA,82.58202,77.37614,26625,27495
27601,Rapid City,158442.0,46,South Dakota,SD,82.07669,77.70508,107690,105432
27701,Scottsbluff,65903.0,31,Nebraska,NE,82.91946,76.42802,41738,37925
27702,Cheyenne,95526.0,56,Wyoming,WY,80.48484,75.20076,54438,53337
27801,Norfolk,56990.0,31,Nebraska,NE,83.95138,77.05672,30338,30964
27802,Columbus,61167.0,31,Nebraska,NE,83.06289,77.59357,29428,32389
27901,Hastings,42251.0,31,Nebraska,NE,81.33438,77.42387,22493,22095
27902,York,26871.0,31,Nebraska,NE,80.85465,76.32024,12915,13022
27903,Grand Island,77708.0,31,Nebraska,NE,83.39684,77.79134,45406,44700
28001,Sioux City,187773.0,19,Iowa,IA,80.75101,76.40378,99720,96967
28002,West Point,25165.0,31,Nebraska,NE,80.44719,78.25538,13601,14477
28101,Lincoln,311956.0,31,Nebraska,NE,82.80061,76.18951,135242,137863
28102,Nebraska City,40078.0,31,Nebraska,NE,80.80756,75.45344,23080,23148
28201,Red Oak,48197.0,19,Iowa,IA,82.28503,78.02516,28832,29168
28202,Omaha,803201.0,31,Nebraska,NE,81.08272,75.69916,379226,373447
28301,Sterling,39751.0,8,Colorado,CO,82.88439,77.38065,23802,24034
28306,North Platte,35939.0,31,Nebraska,NE,82.30806,77.27244,21372,18051
28401,Colorado Springs,587132.0,8,Colorado,CO,82.28248,77.71734,327734,303659
28502,Pueblo,187782.0,8,Colorado,CO,80.12537,74.80724,131864,123581
28608,Kearney,56033.0,31,Nebraska,NE,82.99081,77.7678,28221,27566
28609,Lexington,48464.0,31,Nebraska,NE,82.76376,78.9976,29514,32363
28702,Glenwood Springs,131682.0,8,Colorado,CO,86.0628,80.76435,64742,84839
28704,Laramie,33591.0,56,Wyoming,WY,80.37476,76.11787,14210,15038
28800,Fort Collins,459601.0,8,Colorado,CO,83.35473,78.69386,252093,243031
28900,Denver,2449044.0,8,Colorado,CO,81.99511,77.32079,1128845,1221219
29003,Dodge City,42837.0,20,Kansas,KS,82.06233,77.31883,20616,23019
29004,Great Bend,47227.0,20,Kansas,KS,80.66185,76.55532,29138,29389
29005,Hutchinson,82076.0,20,Kansas,KS,80.81962,75.84326,49217,43802
29006,Hays,38196.0,20,Kansas,KS,81.15652,75.49156,20848,18709
29104,Salina,63338.0,20,Kansas,KS,80.92434,75.09251,37927,34968
29203,Manhattan,143269.0,20,Kansas,KS,81.19162,75.74883,63357,59169
29204,Topeka,324513.0,20,Kansas,KS,80.74138,75.19574,163431,156325
29301,Wichita,553506.0,20,Kansas,KS,80.52625,74.71002,278039,260174
29302,Newton,75784.0,20,Kansas,KS,81.96838,76.45914,38100,34502
29303,Winfield,51584.0,20,Kansas,KS,80.22366,75.50777,33285,31210
29401,Ottawa,51067.0,20,Kansas,KS,81.56176,75.88155,34050,30805
29402,Emporia,47830.0,20,Kansas,KS,82.29539,76.3101,25665,25341
29403,Bartlesville,145981.0,20,Kansas,KS,80.84846,75.68193,103960,93565
29501,Leavenworth,85465.0,20,Kansas,KS,80.2178,74.08143,36241,36774
29502,Kansas City,1762873.0,29,Missouri,MO,80.98061,75.75677,894098,837340
29503,St. Joseph,158300.0,29,Missouri,MO,80.47686,75.27678,97175,92337
29504,Sedalia,88232.0,29,Missouri,MO,81.79375,76.02309,74034,69997
29505,Polk,33693.0,29,Missouri,MO,82.61018,76.60103,17178,17101
29601,Columbia,302388.0,29,Missouri,MO,80.8592,75.46795,158154,151184
29602,Eldon,79924.0,29,Missouri,MO,81.76736,75.68629,71235,68961
29700,Springfield,440866.0,29,Missouri,MO,82.50356,77.0863,350836,327196
29800,Monett,137575.0,29,Missouri,MO,82.19843,76.83721,135696,125877
29901,Joplin,266742.0,29,Missouri,MO,80.8451,75.39191,208590,195488
29902,Center,54651.0,29,Missouri,MO,81.32009,76.33748,45910,42800
30000,Russellville,138646.0,5,Arkansas,AR,81.74622,76.52619,112119,107626
30100,Fort Smith,332832.0,5,Arkansas,AR,80.58862,75.59699,269043,251803
30200,Muskogee,152466.0,40,Oklahoma,OK,80.11639,75.72994,128306,117103
30300,Fayetteville,384122.0,5,Arkansas,AR,81.35508,76.41066,268496,262856
30401,Stillwater,79601.0,40,Oklahoma,OK,81.16766,75.66472,41190,38982
30402,Tulsa,921246.0,40,Oklahoma,OK,80.3007,74.93401,608262,541704
30403,Okmulgee,51499.0,40,Oklahoma,OK,81.07015,76.02934,41696,36459
30501,Woodward,26123.0,40,Oklahoma,OK,82.28331,75.95633,17293,15251
30502,Enid,102415.0,40,Oklahoma,OK,80.78031,76.08628,70248,65916
