cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
35002,Safford,42036.0,4,Arizona,AZ,81.41766,75.38371,21262,18717
35100,Tucson,999882.0,4,Arizona,AZ,82.05811,76.97138,705725,672893
35201,Grand Junction,187857.0,8,Colorado,CO,83.84296,77.89705,143448,136789
35300,Farmington,168198.0,35,New Mexico,NM,83.38176,78.70057,132686,113226
35401,Flagstaff,289883.0,4,Arizona,AZ,83.36898,78.34153,244998,227347
35402,Cortez,40087.0,8,Colorado,CO,82.28477,80.20512,27262,25392
35500,Gallup,241691.0,4,Arizona,AZ,83.83885,77.99357,207333,180214
35600,Hawaii,148677.0,15,Hawaii,HI,82.26493,77.64072,121626,123248
35701,Twin Falls,120807.0,16,Idaho,ID,82.58005,77.56711,85303,88481
35702,Burley,41590.0,16,Idaho,ID,83.69843,77.6105,25750,27322
35801,Boise,493970.0,16,Idaho,ID,82.86906,78.15974,302310,294197
35802,Ontario,62170.0,41,Oregon,OR,82.01249,78.67233,43143,42676
35901,St. George,130138.0,49,Utah,UT,84.01164,79.29983,81049,72950
35902,Price,54045.0,49,Utah,UT,83.5918,75.97655,29379,26161
35904,Richfield,25012.0,49,Utah,UT,81.75099,77.93497,15253,14090
36000,Provo,389179.0,49,Utah,UT,83.59795,78.91698,134611,124259
36100,Salt Lake City,1426729.0,49,Utah,UT,82.21261,76.81122,580718,580050
36200,Logan,149590.0,49,Utah,UT,84.13048,79.18157,53008,50567
36301,Pocatello,269722.0,16,Idaho,ID,81.6043,77.87975,141876,136310
36401,Steamboat Springs,38860.0,8,Colorado,CO,84.45799,80.01543,20596,22973
36402,Vernal,39595.0,49,Utah,UT,81.43522,76.1577,22756,19015
36404,Rock Springs,80730.0,56,Wyoming,WY,82.14976,75.58435,40432,36739
36501,Klamath Falls,151353.0,6,California,CA,82.43083,78.1774,111442,107371
36600,Redding,219295.0,6,California,CA,81.9281,77.42861,168584,158562
36700,Eureka,139540.0,6,California,CA,82.90926,77.92067,102573,98092
36800,Medford,256995.0,41,Oregon,OR,82.99538,78.44166,227570,208577
36901,Crescent City,48644.0,6,California,CA,82.58212,77.16534,41176,37986
36902,Roseburg,163178.0,41,Oregon,OR,81.5677,77.47449,140821,125135
37000,Modesto,729182.0,6,California,CA,82.04736,78.01382,482560,472788
37100,Bakersfield,661645.0,6,California,CA,81.11775,76.66959,455544,454778
37200,Fresno,1419998.0,6,California,CA,81.82018,77.94681,953147,1039246
37300,Chico,387577.0,6,California,CA,82.01334,77.50866,261013,263610
37400,Sacramento,2570609.0,6,California,CA,81.53432,77.53944,1472486,1467143
37500,San Jose,2393183.0,6,California,CA,83.6607,79.4556,1054637,1122225
37601,Elko,61917.0,32,Nevada,NV,80.3204,73.91967,31052,29893
37604,Reno,453825.0,32,Nevada,NV,80.59384,75.72331,307655,343171
37700,Santa Rosa,603188.0,6,California,CA,82.57211,79.02451,362827,352548
37800,San Francisco,4642561.0,6,California,CA,83.03068,78.75665,2176629,2242948
37901,Las Vegas,1568418.0,32,Nevada,NV,80.0135,75.11311,1178605,1298314
37903,Mammoth Lakes,30798.0,6,California,CA,82.70996,78.23286,18514,21805
38000,San Diego,2813833.0,6,California,CA,83.40164,78.75496,1582159,1677382
38100,Yuma,302387.0,6,California,CA,83.51188,78.0842,361170,415487
38200,Santa Barbara,646028.0,6,California,CA,83.95752,79.39709,334211,345190
38300,Los Angeles,16400000.0,6,California,CA,83.20184,79.00219,10536712,10588031
38401,Lewiston,88546.0,16,Idaho,ID,82.46149,78.92383,61040,56800
38402,Pullman,75675.0,53,Washington,WA,84.27416,78.61995,27333,27900
38501,Moses Lake,91126.0,53,Washington,WA,82.38893,77.74131,55170,58171
38502,Wenatchee,99219.0,53,Washington,WA,83.25988,79.81274,64301,64009
38601,Spokane,608317.0,53,Washington,WA,82.22021,77.67578,413222,392266
38602,Colville,86890.0,53,Washington,WA,83.23831,79.8625,72979,72034
38700,Longview,220580.0,53,Washington,WA,81.8485,76.49514,159725,143315
38801,Portland,1842889.0,41,Oregon,OR,82.61423,77.65761,977718,984446
38802,The Dalles,65297.0,41,Oregon,OR,84.26121,78.67147,48863,49301
38901,Eugene,936387.0,41,Oregon,OR,82.28413,77.61652,572797,552890
38902,Newport,68741.0,41,Oregon,OR,83.027,76.67754,66312,57562
39000,Yakima,255943.0,53,Washington,WA,82.58255,78.48167,165604,169251
39100,Kennewick,332609.0,53,Washington,WA,81.62836,77.413,181062,173306
39201,La Grande,41271.0,41,Oregon,OR,81.59487,79.99104,30972,28105
39203,Bend,153558.0,41,Oregon,OR,83.76652,79.09019,128344,122259
39302,Bellingham,166814.0,53,Washington,WA,84.59699,79.87604,99177,94485
39303,Port Angeles,90478.0,53,Washington,WA,84.1981,79.52142,73626,64735
39400,Seattle,3775744.0,53,Washington,WA,82.05865,77.36932,1749456,1717500
