gnd,year,age,dm1_pop,dm1_dead,cdc_dead,cdc_pop
F,2006,49,2629680,6372,6927,2266666
F,2007,49,2604629,6400,6736,2285359
F,2008,49,2632592,6578,7100,2284804
F,2009,49,2658865,6567,6969,2370091
F,2010,49,2644612,6485,6884,2341230
F,2011,49,2637733,6309,6912,2293314
F,2012,49,2619690,6222,6687,2288286
F,2013,49,2594761,6188,6783,2279031
F,2014,49,2476762,5829,6485,2229216
F,2001,50,2285745,5919,6160,1937183
F,2002,50,2364570,6248,6410,1978124
F,2003,50,2395758,6378,6683,2041746
F,2004,50,2479447,6578,6897,2102958
F,2005,50,2510107,6699,7250,2181791
F,2006,50,2573409,6798,7190,2175011
F,2007,50,2623308,6808,7425,2256393
F,2008,50,2598229,7114,7579,2273904
F,2009,50,2626014,7246,7523,2271859
F,2010,50,2652298,7066,7527,2359941
F,2011,50,2638127,7194,7584,2329956
F,2012,50,2631424,6959,7385,2288813
F,2013,50,2613468,6918,7282,2283376
F,2014,50,2588573,6740,7206,2279824
F,2001,51,2209893,6110,6524,1933991
F,2002,51,2279826,6366,6773,1939473
F,2003,51,2358322,6732,7020,1982259
F,2004,51,2389380,6725,7081,2048324
F,2005,51,2472869,7254,7577,2112391
F,2006,51,2503408,7028,7601,2194302
F,2007,51,2566611,7481,7871,2189912
F,2008,51,2616500,7620,7917,2274367
F,2009,51,2591115,7361,7947,2294505
F,2010,51,2618768,7602,7887,2273865
F,2011,51,2645232,7712,8140,2347996
F,2012,51,2630933,7616,8173,2324789
F,2013,51,2624465,7539,8081,2283411
F,2014,51,2606550,7534,8153,2283261
F,2001,52,2189252,6658,7135,1867556
F,2002,52,2203783,6850,7022,1930904
F,2003,52,2273460,7037,7340,1935134
F,2004,52,2351590,7029,7324,1976684
F,2005,52,2382655,7485,7840,2041805
F,2006,52,2465615,7626,7965,2104762
F,2007,52,2496380,7758,8025,2185395
F,2008,52,2559130,8088,8407,2179899
F,2009,52,2608880,8276,8765,2262914
F,2010,52,2583754,8088,8717,2293600
F,2011,52,2611166,8337,8730,2281399
F,2012,52,2637520,8243,8648,2342152
F,2013,52,2623317,8203,8749,2318522
F,2014,52,2616926,8334,8708,2282051
F,2001,53,2165529,7233,7824,1855738
F,2002,53,2182594,7145,7718,1867431
F,2003,53,2196933,7243,7663,1931805
F,2004,53,2266423,7334,7550,1937112
F,2005,53,2344561,7788,8021,1980116
F,2006,53,2375170,7845,8187,2046556
F,2007,53,2457989,8040,8282,2110678
F,2008,53,2488622,8319,8602,2192990
F,2009,53,2551042,8816,9069,2188666
F,2010,53,2600604,8801,8894,2239000
F,2011,53,2575666,8791,9094,2274943
F,2012,53,2602829,8774,9119,2275082
F,2013,53,2629277,8898,9353,2335280
F,2014,53,2615114,8860,9584,2316131
F,2001,54,2229396,8061,8457,1946664
F,2002,54,2158296,7778,8376,1855880
F,2003,54,2175449,7911,8359,1868710
F,2004,54,2189690,7657,8269,1934545
F,2005,54,2259089,7918,8266,1941338
F,2006,54,2336773,8237,8666,1985489
F,2007,54,2367325,8345,8793,2053371
F,2008,54,2449949,8673,8921,2119393
F,2009,54,2480303,9024,9410,2203336
F,2010,54,2542226,9067,9541,2198445
F,2011,54,2591803,9333,9830,2259358
F,2012,54,2566875,9243,9832,2268178
F,2013,54,2594055,9575,9960,2267671
F,2014,54,2620379,9683,10154,2331961
F,2001,55,1999865,7965,7411,1464238
F,2002,55,2221335,8844,9216,1940351
F,2003,55,2150518,8558,8954,1848350
F,2004,55,2167538,8384,8760,1859415
F,2005,55,2182033,8402,8778,1923637
F,2006,55,2251171,8786,8979,1928603
F,2007,55,2328536,8853,9030,1970420
