cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_v1_F,le_raceadj_v1_M,count_v1_F,count_v1_M
35001,Phoenix,3303211.0,4,Arizona,AZ,80.1195,74.51163,358701,369859
35100,Tucson,999882.0,4,Arizona,AZ,80.99763,74.07359,132053,125060
35401,Flagstaff,289883.0,4,Arizona,AZ,83.66338,76.48253,48770,44466
35801,Boise,493970.0,16,Idaho,ID,82.00836,76.7015,53347,49065
36000,Provo,389179.0,49,Utah,UT,82.67596,76.65432,26203,22631
36100,Salt Lake City,1426729.0,49,Utah,UT,80.13222,73.2882,114204,113558
36301,Pocatello,269722.0,16,Idaho,ID,79.24884,76.07273,25981,22026
36800,Medford,256995.0,41,Oregon,OR,82.55034,75.76553,46295,40230
37000,Modesto,729182.0,6,California,CA,81.5483,76.48977,101873,84255
37100,Bakersfield,661645.0,6,California,CA,81.46222,74.78464,92872,83496
37200,Fresno,1419998.0,6,California,CA,81.42045,76.30453,194056,187164
37300,Chico,387577.0,6,California,CA,81.25727,76.58318,57212,50615
37400,Sacramento,2570609.0,6,California,CA,80.59685,75.79677,320033,288795
37500,San Jose,2393183.0,6,California,CA,82.81812,78.01101,229552,216068
37604,Reno,453825.0,32,Nevada,NV,78.10773,74.30729,57591,63804
37700,Santa Rosa,603188.0,6,California,CA,82.24121,77.89219,83890,72971
37800,San Francisco,4642561.0,6,California,CA,82.73593,77.26349,497656,466452
37901,Las Vegas,1568418.0,32,Nevada,NV,78.65379,73.59534,218143,235661
38000,San Diego,2813833.0,6,California,CA,82.87125,77.01227,331746,318612
38100,Yuma,302387.0,6,California,CA,84.40918,76.48547,75616,78632
38200,Santa Barbara,646028.0,6,California,CA,82.20025,76.86026,71301,67691
38300,Los Angeles,16400000.0,6,California,CA,83.12251,77.60937,2202162,1957826
38601,Spokane,608317.0,53,Washington,WA,80.25909,74.80332,75816,68582
38801,Portland,1842889.0,41,Oregon,OR,81.55719,75.53431,198169,190901
38901,Eugene,936387.0,41,Oregon,OR,80.32751,75.54077,114990,106807
39000,Yakima,255943.0,53,Washington,WA,80.04765,76.5811,32555,30904
39100,Kennewick,332609.0,53,Washington,WA,80.21302,75.8772,34377,30784
39400,Seattle,3775744.0,53,Washington,WA,81.14854,75.70948,367007,340007
