st,statename,stateabbrv,year,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
38,North Dakota,ND,2013,80.54532,76.36641,16925,18012
38,North Dakota,ND,2014,87.39649,76.12386,16657,18122
39,Ohio,OH,2001,80.42672,74.70477,381203,342024
39,Ohio,OH,2002,81.65973,74.14464,395957,354765
39,Ohio,OH,2003,81.61951,75.32174,405276,366053
39,Ohio,OH,2004,82.00169,75.04021,407062,369059
39,Ohio,OH,2005,81.79324,75.08801,413148,373117
39,Ohio,OH,2006,82.13272,74.66906,415373,377725
39,Ohio,OH,2007,82.84364,75.64835,420604,383578
39,Ohio,OH,2008,82.25983,75.40863,427263,390949
39,Ohio,OH,2009,81.39734,74.98891,432760,396340
39,Ohio,OH,2010,81.87571,76.00912,431530,395340
39,Ohio,OH,2011,82.39534,75.93298,423330,390649
39,Ohio,OH,2012,82.43672,75.15975,417749,384138
39,Ohio,OH,2013,82.13509,76.22822,413894,383970
39,Ohio,OH,2014,82.64791,75.83206,397730,373686
40,Oklahoma,OK,2001,82.80723,74.86949,142809,130200
40,Oklahoma,OK,2002,81.13676,75.51105,147679,133827
40,Oklahoma,OK,2003,81.09498,76.67788,147286,132588
40,Oklahoma,OK,2004,82.35642,75.46856,149349,135064
40,Oklahoma,OK,2005,80.7227,74.53988,150386,135522
40,Oklahoma,OK,2006,81.17931,75.82882,151107,136628
40,Oklahoma,OK,2007,81.89349,76.24169,149791,135534
40,Oklahoma,OK,2008,80.40372,75.97285,149484,135155
40,Oklahoma,OK,2009,81.00372,74.36242,151377,137048
40,Oklahoma,OK,2010,80.60639,74.99413,146086,130808
40,Oklahoma,OK,2011,80.39227,75.32955,143302,128589
40,Oklahoma,OK,2012,81.85611,75.11686,141067,126316
40,Oklahoma,OK,2013,79.45164,75.25652,139577,128216
40,Oklahoma,OK,2014,81.90063,75.11958,135787,123916
41,Oregon,OR,2001,82.07761,77.42247,120135,117905
41,Oregon,OR,2002,81.70013,77.04655,125991,123470
41,Oregon,OR,2003,83.22193,77.05846,129703,126850
41,Oregon,OR,2004,83.88816,78.46124,131844,128246
41,Oregon,OR,2005,85.31315,76.91502,133054,128626
41,Oregon,OR,2006,83.13867,78.60633,135513,130818
41,Oregon,OR,2007,83.61889,79.36252,134886,130433
41,Oregon,OR,2008,83.85397,77.72179,135754,131188
41,Oregon,OR,2009,81.62767,76.97675,137666,133839
41,Oregon,OR,2010,82.58029,78.93072,137404,134094
41,Oregon,OR,2011,83.73598,78.53419,136711,134832
41,Oregon,OR,2012,84.39883,78.18778,134406,134340
41,Oregon,OR,2013,83.83038,77.15534,134536,137687
41,Oregon,OR,2014,83.98055,78.13803,130309,131933
42,Pennsylvania,PA,2001,81.45715,75.20259,387172,358045
42,Pennsylvania,PA,2002,81.7471,75.88834,400340,368617
42,Pennsylvania,PA,2003,82.02953,75.47896,407467,376648
42,Pennsylvania,PA,2004,82.06355,76.13816,409885,379470
42,Pennsylvania,PA,2005,82.276,76.03351,413961,385629
42,Pennsylvania,PA,2006,82.17092,75.96873,416807,390815
42,Pennsylvania,PA,2007,82.775,75.54855,422068,397916
42,Pennsylvania,PA,2008,82.54849,76.30513,426015,402830
42,Pennsylvania,PA,2009,81.62868,75.26675,426453,404252
42,Pennsylvania,PA,2010,82.61895,76.00323,418335,396355
42,Pennsylvania,PA,2011,82.47933,76.0412,408328,387949
42,Pennsylvania,PA,2012,83.48633,75.81845,400685,381009
42,Pennsylvania,PA,2013,82.38599,75.7338,399347,387460
42,Pennsylvania,PA,2014,82.64227,76.15733,384883,380334
44,Rhode Island,RI,2001,81.69169,76.96864,32806,30421
44,Rhode Island,RI,2002,80.54885,74.78301,33955,31074
44,Rhode Island,RI,2003,80.96031,79.52081,33962,31313
44,Rhode Island,RI,2004,82.54372,76.04148,34127,31212
44,Rhode Island,RI,2005,82.90371,75.6711,34325,31116
44,Rhode Island,RI,2006,82.13264,77.95938,34656,31676
44,Rhode Island,RI,2007,82.80639,77.78874,34896,32068
44,Rhode Island,RI,2008,83.45805,75.50017,35438,32619
44,Rhode Island,RI,2009,81.78882,75.92038,35948,33010
44,Rhode Island,RI,2010,86.40678,76.55463,36057,32907
44,Rhode Island,RI,2011,83.53416,78.23835,35498,32323
44,Rhode Island,RI,2012,84.01678,75.83744,35316,32072
44,Rhode Island,RI,2013,83.04214,78.35894,35010,32172
44,Rhode Island,RI,2014,82.83851,78.02177,34403,31659
45,South Carolina,SC,2001,82.67747,75.08242,179326,152643
45,South Carolina,SC,2002,82.45361,75.32971,188423,158169
45,South Carolina,SC,2003,82.58492,73.64526,194612,163152
45,South Carolina,SC,2004,83.33147,75.86032,197834,165190
45,South Carolina,SC,2005,82.86526,76.29401,199777,165263
45,South Carolina,SC,2006,83.26383,75.55498,204368,169021
45,South Carolina,SC,2007,82.94962,75.8435,207683,171677
45,South Carolina,SC,2008,84.258,75.80808,211725,174752
45,South Carolina,SC,2009,82.03692,75.13227,219600,182800
45,South Carolina,SC,2010,82.49988,76.3604,218932,182260
45,South Carolina,SC,2011,84.3691,77.00266,218140,182295
45,South Carolina,SC,2012,82.86366,75.97509,216662,180929
45,South Carolina,SC,2013,84.71213,76.89376,215274,182866
45,South Carolina,SC,2014,83.17147,76.72321,205818,176572
46,South Dakota,SD,2001,78.32954,78.3602,25074,25937
46,South Dakota,SD,2002,82.94201,76.02885,25819,26568
46,South Dakota,SD,2003,85.7674,76.17698,26173,26818
46,South Dakota,SD,2004,83.91796,79.46373,26772,27234
46,South Dakota,SD,2005,81.11669,76.15096,26529,26986
46,South Dakota,SD,2006,82.0183,78.21259,26654,27248
46,South Dakota,SD,2007,81.29409,78.54837,26525,27403
46,South Dakota,SD,2008,83.59628,77.5014,26836,27619
46,South Dakota,SD,2009,83.97083,76.12663,26542,27218
46,South Dakota,SD,2010,83.84513,78.97658,26091,26287
46,South Dakota,SD,2011,83.0664,78.64303,25387,25328
46,South Dakota,SD,2012,82.94758,77.80149,24550,24536
46,South Dakota,SD,2013,81.12595,77.02219,25640,26764
46,South Dakota,SD,2014,81.77948,78.51177,24403,25551
47,Tennessee,TN,2001,82.89205,75.08282,230645,214620
47,Tennessee,TN,2002,83.38421,75.74391,243673,225522
47,Tennessee,TN,2003,82.65461,75.17425,249349,229723
47,Tennessee,TN,2004,82.0915,76.5048,251019,230853
47,Tennessee,TN,2005,82.80647,75.54273,252743,232054
47,Tennessee,TN,2006,84.24985,75.30312,254835,234469
47,Tennessee,TN,2007,82.49718,76.40596,260186,240047
47,Tennessee,TN,2008,83.69348,75.70913,266985,246877
47,Tennessee,TN,2009,82.51594,74.88891,278599,257863
47,Tennessee,TN,2010,82.19006,76.64588,276522,257243
47,Tennessee,TN,2011,82.70378,75.44901,274384,253752
47,Tennessee,TN,2012,82.59889,74.91241,272386,252442
47,Tennessee,TN,2013,82.59145,75.44521,270961,255245
47,Tennessee,TN,2014,83.31055,75.40043,256243,242820
48,Texas,TX,2001,80.57471,76.11786,792697,760178
48,Texas,TX,2002,81.51337,75.53085,827457,781202
48,Texas,TX,2003,81.79607,76.42811,847207,794322
48,Texas,TX,2004,82.05644,75.93474,872103,815805
48,Texas,TX,2005,82.39711,76.42605,889428,827189
48,Texas,TX,2006,82.46761,76.66823,919865,850149
48,Texas,TX,2007,82.52795,76.64042,938010,860939
48,Texas,TX,2008,82.16255,76.73887,947116,862681
48,Texas,TX,2009,81.63808,75.60766,963126,872284
48,Texas,TX,2010,82.51986,76.21086,955730,856182
48,Texas,TX,2011,82.62345,75.96397,958819,855855
48,Texas,TX,2012,81.42162,75.88435,965569,857408
48,Texas,TX,2013,82.2198,75.62766,976908,877417
48,Texas,TX,2014,82.8466,76.38679,954817,841399
49,Utah,UT,2001,83.49284,78.42871,48065,47173
49,Utah,UT,2002,82.89895,77.52778,50714,49325
49,Utah,UT,2003,84.65761,76.58879,52389,50618
49,Utah,UT,2004,81.3418,79.05908,54409,52934
49,Utah,UT,2005,84.38067,80.32807,55955,54503
49,Utah,UT,2006,83.34184,79.08653,56792,55831
49,Utah,UT,2007,85.35773,76.86301,57817,56449
49,Utah,UT,2008,83.67468,78.17754,58142,56200
49,Utah,UT,2009,83.37613,77.48608,58599,57239
49,Utah,UT,2010,83.38329,78.34856,60012,58788
49,Utah,UT,2011,83.22843,76.85246,61183,60309
49,Utah,UT,2012,84.48793,79.55502,62153,60892
49,Utah,UT,2013,84.57697,78.95306,62701,62391
49,Utah,UT,2014,83.85701,78.54356,64460,62387
50,Vermont,VT,2001,82.42213,78.67381,22041,22151
50,Vermont,VT,2002,82.16512,76.73489,22511,22281
50,Vermont,VT,2003,82.69219,78.85058,22801,22597
50,Vermont,VT,2004,82.45559,78.25913,23364,22959
50,Vermont,VT,2005,84.34268,82.47317,23648,23327
50,Vermont,VT,2006,84.96501,80.42449,23421,23260
50,Vermont,VT,2007,85.01807,79.25034,23249,23361
50,Vermont,VT,2008,85.47768,79.75078,23392,23835
50,Vermont,VT,2009,84.06654,74.83672,23297,23866
50,Vermont,VT,2010,84.4287,77.62096,23114,23657
50,Vermont,VT,2011,81.94145,81.29631,22777,23165
50,Vermont,VT,2012,85.15852,80.99738,22098,22743
50,Vermont,VT,2013,85.7515,80.82974,21860,22655
50,Vermont,VT,2014,83.17216,77.27692,21346,22140
51,Virginia,VA,2001,81.82972,75.53263,227438,206502
51,Virginia,VA,2002,82.41843,75.2266,236807,211264
51,Virginia,VA,2003,83.11757,75.89297,241377,215775
51,Virginia,VA,2004,82.24088,75.45723,244666,217294
51,Virginia,VA,2005,81.0594,76.30756,250209,220932
51,Virginia,VA,2006,82.43018,75.83801,251815,221721
51,Virginia,VA,2007,83.7599,75.82352,253998,224115
51,Virginia,VA,2008,82.89005,75.80715,255862,227604
51,Virginia,VA,2009,82.00269,75.36246,260758,233487
51,Virginia,VA,2010,83.61099,76.37749,260147,233044
51,Virginia,VA,2011,83.0291,77.07795,255407,227509
51,Virginia,VA,2012,83.05736,77.26462,255104,226435
51,Virginia,VA,2013,84.06354,76.84466,255900,232026
51,Virginia,VA,2014,83.85685,77.49041,250857,228990
53,Washington,WA,2001,81.76996,76.93515,170473,166290
53,Washington,WA,2002,81.63334,76.53144,178625,172666
53,Washington,WA,2003,83.53619,76.92384,184134,178106
53,Washington,WA,2004,81.66971,77.77843,187283,180728
53,Washington,WA,2005,82.40479,78.31387,189640,183014
53,Washington,WA,2006,82.63806,78.33665,193734,188625
53,Washington,WA,2007,82.21655,78.5509,192759,186172
53,Washington,WA,2008,80.97831,76.81304,192462,185075
53,Washington,WA,2009,82.06022,76.904,193296,187345
53,Washington,WA,2010,84.54545,77.35005,192911,187735
53,Washington,WA,2011,83.74645,77.48501,189559,185214
53,Washington,WA,2012,83.30854,77.56248,187147,182861
53,Washington,WA,2013,83.9799,78.09666,188894,189703
53,Washington,WA,2014,84.75145,77.94758,185524,185320
54,West Virginia,WV,2001,81.8904,76.0577,76761,74593
54,West Virginia,WV,2002,83.70898,77.02745,79490,76787
54,West Virginia,WV,2003,83.39893,75.44394,79896,76003
54,West Virginia,WV,2004,81.35801,76.56419,79801,75630
54,West Virginia,WV,2005,83.66106,78.56849,80219,76041
54,West Virginia,WV,2006,83.23186,77.1773,80300,76241
54,West Virginia,WV,2007,82.80256,76.935,80830,76485
54,West Virginia,WV,2008,80.85014,76.12948,81437,76615
54,West Virginia,WV,2009,81.80182,76.19603,85950,80510
54,West Virginia,WV,2010,83.1962,76.61119,80091,74698
54,West Virginia,WV,2011,83.19253,76.74758,76701,71376
54,West Virginia,WV,2012,82.76842,75.11629,75212,70125
54,West Virginia,WV,2013,83.21194,75.17969,74465,70472
54,West Virginia,WV,2014,82.16661,74.77798,70845,68951
55,Wisconsin,WI,2001,81.18282,75.77016,137625,133608
55,Wisconsin,WI,2002,81.53354,75.68193,144117,140108
55,Wisconsin,WI,2003,81.2204,76.9995,148059,144889
55,Wisconsin,WI,2004,82.46273,76.49361,152476,149743
55,Wisconsin,WI,2005,82.83372,76.5294,153855,150495
55,Wisconsin,WI,2006,82.55154,78.02922,156767,153978
55,Wisconsin,WI,2007,81.9091,76.95876,160403,158088
55,Wisconsin,WI,2008,82.73924,76.92144,163153,162061
55,Wisconsin,WI,2009,82.71903,76.14164,165848,164000
55,Wisconsin,WI,2010,82.53926,76.34914,167460,165044
55,Wisconsin,WI,2011,82.10032,75.72314,170189,169833
55,Wisconsin,WI,2012,81.56074,77.12498,165928,165392
55,Wisconsin,WI,2013,82.54203,75.5732,165390,166216
55,Wisconsin,WI,2014,83.53494,76.06721,161405,163520
56,Wyoming,WY,2001,79.33668,76.23183,17917,17370
56,Wyoming,WY,2002,83.6934,76.89184,18470,17826
56,Wyoming,WY,2003,84.63577,73.81244,18563,17621
56,Wyoming,WY,2004,81.45765,78.29282,18834,17825
56,Wyoming,WY,2005,77.55965,77.61685,18534,17873
56,Wyoming,WY,2006,83.27169,81.31099,18242,17233
56,Wyoming,WY,2007,86.30663,78.0087,18059,17136
56,Wyoming,WY,2008,85.46163,75.55288,17603,16498
56,Wyoming,WY,2009,85.22624,77.71074,17101,16310
56,Wyoming,WY,2010,79.44155,74.27884,16631,15824
56,Wyoming,WY,2011,79.73203,77.26776,16348,16188
56,Wyoming,WY,2012,83.58063,77.92505,16243,15811
56,Wyoming,WY,2013,82.08075,72.68805,18091,18476
56,Wyoming,WY,2014,79.97517,74.45076,17975,17738
